CustomerID,Cluster
C0001,1
C0002,7
C0003,1
C0004,5
C0005,7
C0006,1
C0007,7
C0008,9
C0009,3
C0010,3
C0011,1
C0012,5
C0013,5
C0014,8
C0015,8
C0016,2
C0017,6
C0018,2
C0019,6
C0020,8
C0021,4
C0022,4
C0023,6
C0024,9
C0025,1
C0026,2
C0027,7
C0028,4
C0029,7
C0030,2
C0031,1
C0032,1
C0033,8
C0034,9
C0035,2
C0036,2
C0037,6
C0038,7
C0039,5
C0040,7
C0041,6
C0042,2
C0043,7
C0044,3
C0045,4
C0046,9
C0047,9
C0048,1
C0049,9
C0050,2
C0051,6
C0052,1
C0053,6
C0054,4
C0055,2
C0056,7
C0057,6
C0058,8
C0059,9
C0060,3
C0061,3
C0062,3
C0063,3
C0064,6
C0065,0
C0066,3
C0067,9
C0068,9
C0069,6
C0070,3
C0071,1
C0072,2
C0073,3
C0074,3
C0075,0
C0076,1
C0077,1
C0078,8
C0079,7
C0080,8
C0081,6
C0082,5
C0083,1
C0084,4
C0085,1
C0086,3
C0087,5
C0088,7
C0089,3
C0090,4
C0091,5
C0092,7
C0093,4
C0094,2
C0095,1
C0096,5
C0097,8
C0098,9
C0099,5
C0100,6
C0101,4
C0102,5
C0103,3
C0104,5
C0105,6
C0106,7
C0107,1
C0108,5
C0109,0
C0110,8
C0111,6
C0112,1
C0113,5
C0114,6
C0115,8
C0116,2
C0117,2
C0118,5
C0119,3
C0120,1
C0121,3
C0122,9
C0123,8
C0124,6
C0125,2
C0126,5
C0127,6
C0128,8
C0129,1
C0130,8
C0131,7
C0132,3
C0133,1
C0134,7
C0135,3
C0136,4
C0137,1
C0138,4
C0139,9
C0140,8
C0141,0
C0142,7
C0143,4
C0144,2
C0145,4
C0146,7
C0147,5
C0148,5
C0149,6
C0150,8
C0151,8
C0152,1
C0153,5
C0154,2
C0155,5
C0156,0
C0157,2
C0158,1
C0159,7
C0160,7
C0161,4
C0162,4
C0163,5
C0164,3
C0165,5
C0166,3
C0167,3
C0168,1
C0169,5
C0170,6
C0171,5
C0172,6
C0173,4
C0174,1
C0175,0
C0176,7
C0177,7
C0178,7
C0179,6
C0180,8
C0181,5
C0182,6
C0183,2
C0184,5
C0185,2
C0186,7
C0187,1
C0188,5
C0189,2
C0190,1
C0191,1
C0192,1
C0193,7
C0194,9
C0195,5
C0196,3
C0197,3
C0198,3
C0199,3
C0200,4
